Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
97d2491492800168627d29154f071205450f5463,"Replace test data for Debian security tracker

The previous fixture had some strange values like ""not-resolved""
for ""status"" and ""un-remote"" for ""scope"". It doesn't look like
those values are used by the Debian security tracker.
To address issue #38 we need records with ""status"" values
""resolved"" and ""open"".

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['d5ab2fe053677fe5e1ecc62f0c307cd8c777ddd7'],False,"test_api.py, debian.json, test_data_dump.py, test_scrapers.py"
0e119b0ec30f85081b0fbb5125848e8633156f80,"Include ""version"" attribute in debian.extract_vulnerabilities()

Before this change, only ""fixed_version"" was retained. This is
the lowest version of the package that includes a fix for the
given vulnerability. However in the meantime, newer versions
of the package might have become available in the Debian release
passed in as ""base_release"".

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['97d2491492800168627d29154f071205450f5463'],False,"debian.py, test_scrapers.py"
6f08acecf7cad8aa8fa5443cf30bbf244900c966,"Merge pull request #125 from haikoschol/arch-import-fixes

Add unique CVE ID field to Vulnerability","['58e3ff375f8cc40cd457aa8130a5ac5264e29cd7', '5c9493db2650f3db0beb45ad0c1b77f7ab64c880']",True,
9a1f74efc270575bd0fc44f48988842535d25976,"Add Apache 2.0 LICENSE file

fixes #115 

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['941eea1d319f9966e44f316b53712e0bc3364823'],False,LICENSE
b34e6c6a3afaea695164f6a6bef2ee2bb50d8352,"Add Apache 2.0 LICENSE file

fixes #115 

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['aa1cdcb7f3c10eabe102f4ddb6f4c13d737d537f'],False,LICENSE
110c2ca7d273c2bfdf678316913f104002bc6178,"Fix buggy list manipulation

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['a546d429d4e3856959d183429d7c5055e386cd9e'],False,npm.py
f55d2fbe6d494f23efe3313e23a3355336d5d757,"Merge pull request #131 from nexB/npm-issue

Fixes the NPM import","['26121992619f942f2ec4160ea5b6d2d97af8a2fd', '110c2ca7d273c2bfdf678316913f104002bc6178']",True,
1abf16a904cf069ec189d503b979c2fbb3e685c1,"Fixes typo in Django admin

Signed-off-by: sbs2001 <shivam.sandbhor@gmail.com>",['61ba0a098e9ef10d0794ee8e09addf263b38995c'],False,models.py
7cd63fa042e2c5e588f947676449c86625b63c0c,"Fix npm.py bug

Signed-off-by: sbs2001 <shivam.sandbhor@gmail.com>",['1abf16a904cf069ec189d503b979c2fbb3e685c1'],False,npm.py
99b4191df5ae6cb11bbedd8ba590e89f41ca3f55,"Merge pull request #147 from haikoschol/add-fixtures

Remove dependency on importers from API tests","['335786522f334cc83b999532b3e39606c86ea541', '700a4698c74846e83cd18aab46c78a5852f387f6']",True,
6d8ed831522cde4894c4efef0b6823503c91b21e,"Use 'with' handler for  urlopen() and fix other nits

Signed-off-by: sbs2001 <shivam.sandbhor@gmail.com>",['1551e315971604543bd86013a271e6a57c15190c'],False,"data_dump.py, rust.py"
848ee1285f8c6bdbc1245e59eb788b405cbe2088,"Fix resource leak in NPM importer

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['dc318c3f942f2efdfab8c0ff89abb5f39e5f89b6'],False,npm.py
612c3bd2caded37707ea21f87ad8f22fc0c7fc25,"fix: check for 'patched_versions' key

Signed-off-by: Islam ElHakmi <eslam.elhakmey3@gmail.com>",['848ee1285f8c6bdbc1245e59eb788b405cbe2088'],False,rust.py
f323d3409cc04d6784febaaeb137ef97f46c5214,"fix: fix CI error

Signed-off-by: Islam ElHakmi <eslam.elhakmey3@gmail.com>",['612c3bd2caded37707ea21f87ad8f22fc0c7fc25'],False,rust.py
1f8e5241a9feb8e2ec8305e78d48857036bd5405,"fix: update rust Schema

Signed-off-by: Islam ElHakmi <eslam.elhakmey3@gmail.com>",['f323d3409cc04d6784febaaeb137ef97f46c5214'],False,rust.py
633ef69ba5b5c23cbfed0c63a72845b04b6b9da3,"fix: fix CI

Signed-off-by: Islam ElHakmi <eslam.elhakmey3@gmail.com>",['1f8e5241a9feb8e2ec8305e78d48857036bd5405'],False,rust.py
193e953b846503a49ce23d382a7f319f69d07736,"Merge pull request #155 from EslamHiko/fix-key-error

fix: check for 'patched_versions' key","['848ee1285f8c6bdbc1245e59eb788b405cbe2088', '633ef69ba5b5c23cbfed0c63a72845b04b6b9da3']",True,
5781a7873ca63584a0f888e274b20cbb53631093,"test: fix lint errors

Signed-off-by: Islam ElHakmi <eslam.elhakmey3@gmail.com>",['988a91ad40b31124628ff3db1dee4ec2755f0810'],False,test_rust.py
c5c69a46f2476056158cfb87bdc304baabba5eba,"Merge pull request #163 from sbs2001/fix-npm

Fix npm importer","['80a7b6e50c37dc599f28351f3e132e8bacbc551f', 'bf31b165489c7c0ca6ac7a99dff22679b036eb58']",True,
4c952ad03d3c72543f1bc8ad36567ba7519300bc,"Merge pull request #166 from sbs2001/develop

Allow skipping internet dependent tests, fix npm dump","['c5c69a46f2476056158cfb87bdc304baabba5eba', 'c97975a00d274efb045c14cd7b0b945c7cb72b53']",True,
3e38b3a03d8902f873177ef81b40692dd8cb1fc2,"Fix safetydb importer

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['4c952ad03d3c72543f1bc8ad36567ba7519300bc'],False,"data_dump.py, safety_db.py"
4d7a25653fdfec3d40ac8cb3c19f693fd7344a30,"Merge pull request #170 from sbs2001/safetydb

Fix safetydb","['4c952ad03d3c72543f1bc8ad36567ba7519300bc', '7b578db3516229345cc578d9efaca51b1ce2b843']",True,
c0726b243f20e3a4539bbcddafb6ef8831e20e28,"Fix bugs in alpine linux importer

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['3ab44858a0e3d5178d2b6c8baeeaf6708ab7ecdf'],False,"data_dump.py, import.py, alpine_linux.py"
ff9ffeed7dbfb28d27ae30c31666db51b05e2d65,"Improve GitDataSource API

Having separate methods added_files() and updated_files() is not ideal
since the same file can be returned by both methods. When a file has
been added and then later modified within the window of time considered
by these methods, the file should only be reported as an added file.

Therefore this commit combines the methods added_files() and
updated_files() into file_changes(), which returns a tuple of sets for
added and updated files, respectively.

It also fixes a time-math issue; commit timestamps are converted to UTC
before being compared to the cutoff timestamp (that is always in UTC).

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['5b649776153fc8c04aabe7e05d9b22bd208f3937'],False,"data_source.py, test_data_source.py"
2c482402b94c50aac3b81ca83cd5cfbf9c7ffc63,"Fix typo

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['ff9ffeed7dbfb28d27ae30c31666db51b05e2d65'],False,import_runner.py
b74bbe46599106257ec3e5cd9f2ffc09206345ac,"Fix lint

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['42c99fb701a2d3fa47218a886c6ffe657cb39ad0'],False,".travis.yml, data_source.py, import_runner.py, alpine_linux.py, archlinux.py, debian.py, npm.py, rust.py, safety_db.py, import.py, models.py, test_alpine.py, test_archlinux.py, test_debian.py, test_import_cmd.py, test_import_runner.py, test_npm.py, test_rust.py, test_safety_db.py"
946ff73869b893c628234c2001efd26117485284,"Merge pull request #184 from sbs2001/fix_schema_validator_alpine

Update the schema validator in  alpine linux importer","['29f335189a3406675bc809bea70405c3b0b7d0a9', '9202ba0ebfd1533ce343c94e7a87ddeb69736575']",True,
48f495a444e1097a061e4753ec6b7dc532f327e2,"Rename  to . Utilise  in RubyDataSource. Add caching in rubyAPI . Fix reference_urls in RubyDataSource

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['2b6b3eb883fd9411e0b0e1c0a91a62d3cd2a4768'],False,"__init__.py, ruby.py, 0008_ruby_importer.py, test_ruby.py"
7593f2928375419a1298ed09fa8675366df1fcf0,"Removed minor optimisation which could be the cause of bugs in case same vulnerability affects different packages

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['48f495a444e1097a061e4753ec6b7dc532f327e2'],False,import_runner.py
4f5caea0ff14a6e1a7584a5f342e016e9d22de9c,"Fix config for SafetyDB importer

The migration that adds the SafetyDB importer used the URL of the git
repository. However the importer is not actually based on GitDataSource,
since the repository only contains a single file with all security data,
so there is no advantage over just downloading the current version from
master via HTTPS.

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['1f40a0381614daebff4a7125a27c085f7f4aa9c0'],False,0006_safetydb_importer.py
52a0fc10a09705442af039e9e46b4d14e9abc121,"Fix Advisory.__hash__()

The hash is computed from a string, which is built by iterating over
attributes of type Iterable/Sequence, such as impacted_package_urls.

This change sorts those attributes before concatenating to the string,
to avoid different hashes when the order of impacted_package_urls, etc
differs.

NB A better solution would be to avoid implementing __hash__() and use
immutable collections like tuple and frozenset for the above mentioned
attributes instead.

See https://eng.lyft.com/hashing-and-equality-in-python-2ea8c738fb9d

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['4f5caea0ff14a6e1a7584a5f342e016e9d22de9c'],False,data_source.py
de1b8e77aa3e7a44cbea0a9126f362e211a4706a,"Merge pull request #189 from haikoschol/fix_advisory_hash

Fix Advisory.__hash__()","['4f5caea0ff14a6e1a7584a5f342e016e9d22de9c', '52a0fc10a09705442af039e9e46b4d14e9abc121']",True,
623fa2cc4627e7e1e9f9142adb32f50692af02b6,"Merge pull request #192 from sbs2001/fix-cli

Add type conversion to int for batch_size , when batch_size is specified via cli","['0dd2c5bffe0285680f04085bf88c4ffe5d77f3e5', 'fc505f5072ec25debc08b676460e782b006f0924']",True,
a35db614da46762e927da290b5dd8dc495e96ad4,"Fix style

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['ea9974b406036e428dd8d57217ff727f08ae61ae'],False,"requirements.txt, oval_parser.py, ubuntu.py"
8c4876d833b0d9eed160fe6b716dd714bbfa3ec7,"Store summary in _insert_vulnerabilities_and_references()

Bugfix: For advisories with a CVE ID that don't exist in the database
yet, the summary was not stored.

Signed-off-by: Haiko Schol <hs@haikoschol.com>",['aded87c2e3a860c07cb47d4bfe919064b8326d74'],False,"import_runner.py, test_import_runner.py"
826de1066794546bb02d1073bac28acde01f0284,"Merge pull request #195 from haikoschol/fix_store_summary

Store summary in `_insert_vulnerabilities_and_references()`","['995a70208eb00e743af77b2782e6541ce36f5798', '8c4876d833b0d9eed160fe6b716dd714bbfa3ec7']",True,
e194649f246dcb6ccadb97a0d398a1e1adcdf3d9,"Merge pull request #199 from haikoschol/fix_version_maxlen

Fix max_length for Package.version in initial migration","['6e9dde07089d30810fc847e9c8d3770b728700de', 'c5b2884c7ab060ff3516e31f59fe5872ca4dd931']",True,
c5f8a688e79c64dee9cca53ad50c16d811b988e2,"Remove data_dump.py , ubuntu's old test data files , modify pytest conf

data_dump.py is finally obsolete, hence removing it.
Ubuntu now uses OVAL hence removing it's old test_data.
To achieve this some changes in pytest's conftest.py were made,
by removing old fixtures which were unused.

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['1e0da4002ee3f7a66cf560e41c313d0d6722a481'],False,"data_dump.py, conftest.py, ubuntu_main.html"
30411446a77994f0142166e81c87f8fc27b50798,"Merge pull request #220 from sbs2001/oval_memory_fix

Use yield to save memory in OvalDataSource's updated_advisories","['fe1026ab5964c612ddb29202127b400e648109a2', '0f5039bac9e68d22646e35ecfc0462c5898f08eb']",True,
58d0376e7319d06387662cb393f3c39d9893088d,"Merge pull request #222 from haikoschol/fix_get_or_create_vuln

Always store summary of vulnerability","['8788014229419c2d34342a2edb76af1850f5b2b3', 'bf44896a3772b86fb71666218e6d7e918eec0be2']",True,
38d90a0244b6b7d951f777b215faede8a66d86ba,"Pass function instead function call in forms

This is done because when running migrations, the function
which made db queries was being run hence failing the CI.
By passing the function itself instead, this issue is fixed

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['7b8835a0c18045613f8ca13f4d37dcac4ff42ab6'],False,forms.py
2a0b6d10ff7762049281476d4ed6fe368eb7c601,":bug: Fix get_success_url method of PackageUpdate view

Upon updating, previously user would get a blank screen. This
is fixed.

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['0a1d007c99e1c0af5df6c67aba04727478647e69'],False,views.py
38905e06be5359fc96cb28d6be64d1e90fbe6557,":bug: Avoid giving user the opportunity to create conflicting relations

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['398311920f532c513f00af9f54150358bdfd14d3'],False,views.py
a195a5dd952527b5f42d3688f8cf92e216c30f41,"Fix wrong ref urls in archlinux importer

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['c53176670eab18268a9938f6dff359366287d1cd'],False,archlinux.py
a36232d2272ecc9af976927279f6c8aba8e72e6e,"Add a package_managers module

Before this commit every Importer had it's own VersionAPI class, which was
used to fetch all versions of a package from the corresponding package manager.

This was problematic due to 2 reasons (1)  Reusing these VersionAPI was hacky
(2) The importer files would contain most of the code related to fetching this
version info.

This is fixed by putting all this VersionAPI classes into one
vulnerabilities/package_managers.py module and the importers will now import
the classes from here.

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['916dc0d920d02f94f1cd8201060b1878e2394324'],False,"debian_oval.py, github.py, npm.py, ruby.py, rust.py, safety_db.py, ubuntu.py, package_managers.py, test_debian_oval.py, test_github.py, test_npm.py, test_package_managers.py, test_ruby.py, test_rust.py, test_safety_db.py, test_ubuntu.py"
56e719c74736c049a2a96b12352a38019b0f5c91,":bug: Fix bug in debian's response_is_new method

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['80f78da812338d5f82a5c12c0561d505df7a327d'],False,debian.py
f735f8aa9cc64efd890a5db8876d4b0bb6933b4f,"Merge pull request #245 from sbs2001/debian_bug_fix

:bug: Fix bug in debian's response_is_new method","['80f78da812338d5f82a5c12c0561d505df7a327d', '56e719c74736c049a2a96b12352a38019b0f5c91']",True,
fc01392eaebeac2c1ee88fded8314cd63766d51d,":wrench: Fix UI bug with vulnerability search view's pagination

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['a44d173b926862542fc6107b416f217791efae4a'],False,"forms.py, vulnerabilities.html, views.py"
3e10ff3f6387c7ce6484b76952ca2152c7166088,"Merge pull request #257 from sbs2001/fix_ui

 Fix UI bug with vulnerability search view's pagination","['a44d173b926862542fc6107b416f217791efae4a', 'fc01392eaebeac2c1ee88fded8314cd63766d51d']",True,
e6941e69f253a2df341e72a05ca10ee32da5cfcc,":pencil2: Add  prefix to all the env variables required by VulnerableCode

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['b608624101c6ae75c31af3919da27f0440bb5817'],False,"Dockerfile, README.md, docker-compose.yml, settings.py"
70dabcfa886a46b86e5530ee0a60d05a16ad0656,":rotating_light: Fix broken NVD tests

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['a66050b4c675007e73e55beb44ab10e1f116f531'],False,test_nvd.py
e65ac68177dd41eaae9a79914712bac00058e0aa,"Merge pull request #258 from sbs2001/fix_build

:rotating_light: Fix broken NVD tests","['a66050b4c675007e73e55beb44ab10e1f116f531', '70dabcfa886a46b86e5530ee0a60d05a16ad0656']",True,
cab316fd112e434e2867b3739c11e0ad01b9c0ee,"Fix code style

Signed-off-by: Philippe Ombredanne <pombredanne@nexb.com>",['a014c3bc83bba94da6da135ae06378be881503e1'],False,"data_source.py, import_runner.py"
e7739d1bde688290f23f618b5ac857bb09364f14,"Disable failing safetyDB import #244

Until we have a fix, we should disbale this.

Signed-off-by: Philippe Ombredanne <pombredanne@nexb.com>",['2f1d3944d0914d3de55f4abf7672bbdc49e1d823'],False,importer_yielder.py
13bafd5266458630692c8a3571dc22aa1921795e,"Fixed the spelling mistakes and grammatical errors

Signed-off-by: Abhigyan Kumar Singh <singhabhigyankumar@gmail.com>",['8cb17c0cc1d48f78ebe831c38c69b705021b993e'],False,README.rst
40fe93611703cd37eb18e72bf2c9c747e5da1863,"Merge pull request #269 from Abhigyankrsingh/Grammatical-errors

Fixed the spelling mistakes and grammatical errors","['8cb17c0cc1d48f78ebe831c38c69b705021b993e', '13bafd5266458630692c8a3571dc22aa1921795e']",True,
38ec05ff262b73cf9e4d6d8fa95fb8ff3ed97c40,"add elixir security importer and test

Signed-off-by: Tushar912 <tushar.912u@gmail.com>

add elixir security to init.py

Signed-off-by: Tushar912 <tushar.912u@gmail.com>

add test for elixir security

Signed-off-by: Tushar912 <tushar.912u@gmail.com>

fixed code style

Signed-off-by: Tushar912 <tushar.912u@gmail.com>",['7f8ae6399b02b1d508689b303f117e2f03f7854a'],False,"importer_yielder.py, __init__.py, elixir_security.py, test_file.yml, test_elixir_security.py"
922e34f5ebb73e3189bcf23cde18ae9601619d46,"fixed code style

Signed-off-by: Tushar912 <tushar.912u@gmail.com>",['f809a89972e17c2eb65a4297991fc3310fdb1c82'],False,"elixir_security.py, package_managers.py, test_elixir_security.py"
39430e7f6e2dca3e642ce0f3ef24b24f315b845e,"Fix workflow.

Signed-off-by: Rolf Schröder <rolf.schr@gmail.com>",['a3d833e65a716f3496a86b44ad48fe4fbc521f17'],False,test-import-using-nix.yml
d14115c045661d43e1482842c029ecbaeefa74a5,"Fix codestyle

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['3a7c41ab8170387dca138f0bc0fdcb2dccdcf6ba'],False,rust.py
c543f979b842e06e3d8f21a6475a82a8a66364e5,"Cleanup codebase and fix minor bugs and other improvements

 * Move the implementation of the methods for handling etags and different
   file  formats into a separate `helpers.py` module to prevent code duplication

 * Fix bugs in the msr2019 importer.

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['7119dd8fddf2a4450eb3e0f48e1764ac29d0ee6f'],False,"helpers.py, import_runner.py, importer_yielder.py, alpine_linux.py, apache_httpd.py, debian_oval.py, kaybee.py, nginx.py, npm.py, nvd.py, openssl.py, project_kb_msr2019.py, ruby.py, rust.py, safety_db.py, suse_backports.py, ubuntu.py, ubuntu_usn.py, import.py, test_helpers.py, test_ubuntu.py"
8ade1e81a31dcc8cfc2817368da0f73e628c2861,"Use toml instead of pytoml and fix imports in helpers.py

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['c543f979b842e06e3d8f21a6475a82a8a66364e5'],False,"requirements.txt, helpers.py"
0dd173c7c16b7f17a2846762b68cebfd738dac37,"Fix missing import in package_managers.py

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['c0c0b3f071c679e27599fbfeb9b6ae24765e2a56'],False,package_managers.py
9c030678a48498ffffb827b867c2850cb1c6be49,"Fix PackageRelatedVulnerablity* views

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['44d0c0d905c26b496a85c437f624f59034a71a95'],False,views.py
25c5aa1dcd0e0a4f410d9219b946d40cbf2a254e,"Cleanup codebase and fix minor bugs and other improvements

 * Move the implementation of the methods for handling etags and different
   file  formats into a separate `helpers.py` module to prevent code duplication

 * Fix bugs in the msr2019 importer.

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['9c030678a48498ffffb827b867c2850cb1c6be49'],False,"alpine_linux.py, rust.py, import.py"
322bf12e96e26b1b4281db7c8dc88c3844cef268,"Merge pull request #278 from sbs2001/cleanup

Cleanup codebase and fix minor bugs and other improvements","['7119dd8fddf2a4450eb3e0f48e1764ac29d0ee6f', 'd03331efbc18a7504bd5ea6a6f0675b01c3cd305']",True,
7237b047a4061f3995fe799b520634f401f9026f,"Minor fixes and improvements in Github Importer

* The github importer used to abandon a vulnerability if
  the affected package had invalid name. This commit changes that
  behaviour to instead  skip the package and import the vulnerability

* This commit also enables github api to import vulnerabilities for python
  and rubygems packages.

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['5e551675152b5dea32a50b6f2348a1fbff7c58b6'],False,github.py
58a253fd1abcb9983ea062f1d52624660cefd002,"Merge new changes and use load_yaml from helpers

used load_yaml from helpers

Signed-off-by: Tushar912 <tushar.912u@gmail.com>

fix typo in importer

Signed-off-by: Tushar912 <tushar.912u@gmail.com>","['ee6dd622cfd007dd44b60c1806653fed9d4f30f7', 'bdf7c85e3516d358fdf797404f3afadf1066b1a8']",True,
3754f9a7219d7cfe0cb8e306c10f2e34e10b8a42,Merge branch 'main' into fix_null_qualifier,"['88c8cecc519585b84323fb6c658ec4737c0625c4', '7c60c0256c5f29abf8d0b09a40a3c3e697b0455a']",True,
9cac5f8a4a1900cfdc5d80596ee98c6d32b947b8,"Merge pull request #313 from sbs2001/fix_null_qualifier

Don't allow null values for qualifiers","['7c60c0256c5f29abf8d0b09a40a3c3e697b0455a', '3754f9a7219d7cfe0cb8e306c10f2e34e10b8a42']",True,
3b903ae24f812a6ad32f4422ae06385330c2367f,Fix formatting in README.rst,['9cac5f8a4a1900cfdc5d80596ee98c6d32b947b8'],False,README.rst
38d4d1a42c0ee1a6a60d9bca988ea03b99976ab7,"Add FIXME comment to Etag function

We are not using etag correctly. Also the function name is misleading
as we are checking the Etag in this create_etag function

Signed-off-by: Philippe Ombredanne <pombredanne@nexb.com>",['8350f6cc1df15aa6d02d7db5bbe80260d1815a59'],False,helpers.py
0c9bf6fc3528a9ba6893b7811dcad59efe0ca7d4,"Revert ""Add FIXME comment to Etag function""

This reverts commit 38d4d1a42c0ee1a6a60d9bca988ea03b99976ab7.",['dc21a604284cf233bbd7945caec166dac8ed37a3'],False,helpers.py
dfa1f1db7371660cef6c279a36dd2457e616683d,"Fix package result count in  web ui

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['d35abb4264c58c65f193475ca653df6778a3acb1'],False,"packages.html, views.py"
83a5e188f756c56e66fdc152a1d3052b32d49f67,"Merge pull request #329 from sbs2001/325-fix-ui-pkg-count

Fix package result count in  web ui","['d35abb4264c58c65f193475ca653df6778a3acb1', 'dfa1f1db7371660cef6c279a36dd2457e616683d']",True,
5428b372fb76919033d33606fb9a8e23c64e1a8a,"Make PR review changes for PR #290

* Correct typo in severity_systems.py

* Use typo for scoring fields instead of list
  in models.py

* Handle absence of bugzilla and RHSA  better in redhat.py

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['be24df02f5726edf8ae8493a6bd3e80644be60d0'],False,"redhat.py, models.py, severity_systems.py"
8d194632d40178c279f70ca8ac960e288bde7df4,"Fix tests

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['d78cd0f2541d069839165f012a50087443130797'],False,"admin.py, severity_systems.py, test_nvd.py, test_redhat_importer.py"
a75884b1914e5ff1d0252a10c6c934410eee023d,"Fix regex in schema validator in alpine importer

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['1d7b64e9172dbc3412229eb346e399ffebc9f3a4'],False,alpine_linux.py
57481fce55432dfd6cf4fff3b11df2a84d334986,"Update deps to fix tests on latest python

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['a75884b1914e5ff1d0252a10c6c934410eee023d'],False,requirements.txt
b30e74a4efa6ba0c9d9977e65d3793ba0194ba2a,"Fix whitespaces and use better colors

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['1d7b64e9172dbc3412229eb346e399ffebc9f3a4'],False,"base.html, index.html, packages.html, vulnerabilities.html, vulnerability.html"
fd813ba7898a6746c0ecb8f225b508f133427d1e,"Fix codestyle

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['8ff771641c01726443f6760d2a966f72bca67ac5'],False,"forms.py, views.py"
e105d4db62ba6e243b0b90bb65d4763f23ca4a66,"Fix sequencing of Vulnerable and Patched packages in search results

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['e06648a61d1427e48e36f9e42e8ce6af949ed7d4'],False,"packages.html, vulnerabilities.html, vulnerability.html"
7c0ba208c51512cdb221d13298844a6f799238f8,"Fix headers of all views

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['e105d4db62ba6e243b0b90bb65d4763f23ca4a66'],False,"package_update.html, packages.html, vulnerabilities.html, vulnerability.html"
84fcee0c063339b46c79f03557b9d80c8a0dcd0a,"Merge pull request #347 from sbs2001/fix-alpine-schema-regex

Fix regex in schema validator in alpine importer","['34d9a36fa0b6d387388ddf0a31a4b638e467996a', '57481fce55432dfd6cf4fff3b11df2a84d334986']",True,
8ce911a5db986c17239a0f881106b0b736c14459,"Fix tests for api

Signed-off-by: Shivam Sandbhor <shivam.sandbhor@gmail.com>",['531c8fc527fadc6b2188793465e2e28b6b0b9e0f'],False,test_api.py
